index,customerid,0
0,8a2a81a74ce8c05d014cfb32a0da1049,1
1,8a85886e54beabf90154c0a29ae757c0,1
2,8a8588f35438fe12015444567666018e,0
3,8a85890754145ace015429211b513e16,0
4,8a858970548359cc0154883481981866,0
5,8a8589f35451855401546b0738c42524,0
6,8a858e095c59b91b015c5e5cea3719bc,0
7,8a858e1158dc4d830158f7bde4f47ea7,0
8,8a858e185b4923b4015b4ae48d28646a,1
9,8a858e1d5cd58f9e015ceda4bdb63673,0
10,8a858e245c214660015c2ba8187976f7,0
11,8a858e345bd96da8015be6b9f8bc10c7,1
12,8a858e395cb1d4d9015cb236b4811cbc,0
13,8a858e4456ced8470156dc8f1f4038d3,0
14,8a858e5357d823010157d932443d28a3,0
15,8a858e5b5bd99460015bdf725e143ff4,1
16,8a858e645755e62201576b58e3522081,1
17,8a858e6c5bd3fbff015bd408ac3e067a,0
18,8a858e705668e16701567f1523211e5a,0
19,8a858e7d595026f8015951c0c4a03fae,1
20,8a858e885c17687c015c19eead6338fd,1
21,8a858e8f5d41c974015d4b7f31865627,1
22,8a858e9b5a195041015a1a602a51519d,1
23,8a858ea555d9e6020155f489c9b237f8,1
24,8a858eb05d2d1297015d313b03581809,0
25,8a858eb85c1be44c015c1c4b667d25ee,1
26,8a858ec75bfd77c4015c0d841520351c,1
27,8a858ed35cc5ce51015cc60f40f522b4,0
28,8a858edb5ad79cc6015ad7c9b29415c8,1
29,8a858ee55830c4b90158337542ab18a1,1
30,8a858eec5ca21dcb015ca2493dee1e2d,0
31,8a858ef75997d0180159a695b01e2c4c,1
32,8a858f03582604ff0158260fcc730548,0
33,8a858f085b905684015b906e73a01478,0
34,8a858f1955b1c4df0155cd14c5b478ed,0
35,8a858f2656e154de0156e3a87cdc45fb,1
36,8a858f2e5c699f3a015c6cf27a036477,0
37,8a858f335cd0c78e015cd435d7192800,0
38,8a858f3d5add42e2015ae0ca6cb66b83,0
39,8a858f4655ca643c0155cbc4e13945cc,0
40,8a858f4f5511dca201551b73634170b6,0
41,8a858f555cc65d60015cc72de106320c,1
42,8a858f5e599783c0015997c56ef70ffa,1
43,8a858f60560bc43d01561d94abd91c48,1
44,8a858f6e5aa3c922015aa3d9cba10a74,0
45,8a858f785cea234f015cea434e0a09e6,0
46,8a858f7e564ad338015654d3a5c242a5,1
47,8a858f9158aff6a30158b5f2ff887585,0
48,8a858f975c4582c4015c550ee4925686,1
49,8a858f995a4762a5015a4c25b0ea01c3,1
50,8a858fa45bd95e9a015be131cdec35a8,1
51,8a858fae5b49223f015b499e1cf9485b,1
52,8a858fb15b34a708015b350c4a1a58d2,1
53,8a858fba5cd5feee015cda4f0fa423b4,0
54,8a858fc55b2fde30015b30c9256b43fd,1
55,8a858fcb5ca240f7015ca64a71fa1951,0
56,8a858fd45a4260bc015a42ac9e89278d,0
57,8a858fd95c3b5bca015c3fcc0b374c3e,1
58,8a85882953bc04f80153c205b75d7403,1
59,8a8588dc536a14130153753dc8d32698,0
60,8a8588fd53c244bc0153c8305ea7338f,0
61,8a85895054a061920154a909b1a76c1d,1
62,8a8589b953bc23f70153c90114817143,0
63,8a858e02578f616401579484a4963345,1
64,8a858e0b5cfa2028015d092b47e27e30,1
65,8a858e1556321b940156548b9ca970a6,0
66,8a858e195b90e512015ba0eb4eed5ef5,0
67,8a858e205af28299015af50a799745c5,0
68,8a858e2e5bb57a37015bbe1b8d6d3830,1
69,8a858e3559080830015923412dd84294,0
70,8a858e3e5b3ee747015b3f0409012b7f,0
71,8a858e4a5cac6f81015cad78a648389f,0
72,8a858e575bf80f73015bfbc59df93401,0
73,8a858e625c8d993a015c95e7ced318df,0
74,8a858e655a047d1a015a12bb060936ff,0
75,8a858e6e55c554c20155c6d8e2925c62,0
76,8a858e785acd3412015acd7bdec42d4f,1
77,8a858e875c63d395015c74bdfd343206,0
78,8a858e8d56adbdae0156b30248fe3104,0
79,8a858e985885ff6d01589211d7c01088,1
80,8a858ea15ca2565c015ca6ed24977b5e,0
81,8a858eaa55a0b8ae0155bab849c616a1,0
